Date,Description,Debit,Credit,Balance
07/22/2026,STRIPE PAYMENT,,3200.00,15420.50
07/22/2026,AWS CLOUD SERVICES,89.50,,12220.50
07/21/2026,FIGMA INC,15.00,,12131.00
07/21/2026,WHOLE FOODS MKT,112.30,,12018.70
07/20/2026,UBER *TRIP,22.00,,11996.70
07/20/2026,GOOGLE *CLOUD,45.00,,11951.70
07/19/2026,FREELANCE PAYMENT,,1500.00,13451.70
07/19/2026,SPOTIFY USA,9.99,,13441.71
07/18/2026,NIKE INC,149.99,,13291.72
07/17/2026,CITY ELECTRIC BILL,95.20,,13196.52
07/16/2026,PLANET FITNESS,49.99,,13146.53
07/15/2026,PAYROLL DEPOSIT,,5250.00,18396.53
07/15/2026,RENT PAYMENT,1200.00,,17196.53
07/14/2026,STARBUCKS #1234,6.75,,17189.78
07/14/2026,NETFLIX.COM,15.99,,17173.79
07/13/2026,MEDICAL CLINIC,80.00,,17093.79
07/12/2026,AMAZON MKTPLACE,67.45,,17026.34
07/11/2026,SHELL GAS STATION,58.30,,16968.04
07/10/2026,LINKEDIN PREMIUM,39.99,,16928.05
07/09/2026,CHIPOTLE MEXICAN,14.25,,16913.80
